datetime,value
2026-02-23T00:04:30,0
2026-02-23T00:14:27,0
2026-02-23T00:24:25,0
2026-02-23T00:34:22,0
2026-02-23T00:44:19,0
2026-02-23T00:54:16,0
2026-02-23T01:04:14,0
2026-02-23T01:14:11,0
2026-02-23T01:24:08,0
2026-02-23T01:34:05,0
2026-02-23T01:44:02,0
2026-02-23T01:54:00,0
2026-02-23T02:03:57,0
2026-02-23T02:13:54,0
2026-02-23T02:23:51,0
2026-02-23T02:33:48,0
2026-02-23T02:43:46,0
2026-02-23T02:53:43,0
2026-02-23T03:03:40,0
2026-02-23T03:13:37,0
2026-02-23T03:23:35,0
2026-02-23T03:33:32,0
2026-02-23T03:43:28,0
2026-02-23T03:53:25,0
2026-02-23T04:03:22,0
2026-02-23T04:13:19,0
2026-02-23T04:23:17,0
2026-02-23T04:33:14,0
2026-02-23T04:43:11,0
2026-02-23T04:53:09,0
2026-02-23T05:03:06,0
2026-02-23T05:13:03,0
2026-02-23T05:23:00,0
2026-02-23T05:32:58,0
2026-02-23T05:42:55,0
2026-02-23T05:52:52,0
2026-02-23T06:02:49,0
2026-02-23T06:12:46,0
2026-02-23T06:22:43,0
2026-02-23T06:32:41,0
2026-02-23T06:42:38,0
2026-02-23T06:52:35,0
2026-02-23T07:02:32,0
2026-02-23T07:12:30,0
2026-02-23T07:22:27,0
2026-02-23T07:32:24,0
2026-02-23T07:42:22,0
2026-02-23T07:52:20,0
2026-02-23T08:02:18,0
2026-02-23T08:12:15,0
2026-02-23T08:22:12,0
2026-02-23T08:32:10,0
2026-02-23T08:42:08,0
2026-02-23T08:52:06,0
2026-02-23T09:02:04,0
2026-02-23T09:12:02,0
2026-02-23T09:22:00,0
2026-02-23T09:31:57,0
2026-02-23T09:41:55,0
2026-02-23T09:51:52,0
2026-02-23T10:01:49,0
2026-02-23T10:11:47,0
2026-02-23T10:21:44,0
2026-02-23T10:31:41,0
2026-02-23T10:41:39,0
2026-02-23T10:51:37,0
2026-02-23T11:01:35,0
2026-02-23T11:11:33,0
2026-02-23T11:21:30,0
2026-02-23T11:31:27,0
2026-02-23T11:41:25,0
2026-02-23T11:51:22,0
2026-02-23T12:01:19,0
2026-02-23T12:11:16,0
2026-02-23T12:21:13,0
2026-02-23T12:31:11,0
2026-02-23T12:41:08,0
2026-02-23T12:51:06,0
2026-02-23T13:01:03,0
2026-02-23T13:11:00,0
2026-02-23T13:20:56,0
2026-02-23T13:30:53,0
2026-02-23T13:40:49,0
2026-02-23T13:50:46,0
2026-02-23T14:00:44,0
2026-02-23T14:10:41,0
2026-02-23T14:20:38,0
2026-02-23T14:30:37,0
2026-02-23T14:40:33,0
2026-02-23T14:50:29,0
2026-02-23T15:00:26,0
2026-02-23T15:10:23,0
2026-02-23T15:20:20,0
